
						Method_right_rectangle:

      Amount_of_splitting       Step      Value    Module_of_difference
	                   10      0.092   5.684433                5.684433
	                   20      0.046   5.449297                0.235135
	                   40      0.023   5.335433                0.113865
	                   80      0.012   5.279430                0.056003
	                  160      0.006   5.251661                0.027769
	                  320      0.003   5.237834                0.013826
	                  640      0.001   5.230936                0.006899
	                 1280      0.001   5.227490                0.003446
	                 2560      0.000   5.225768                0.001722
	                 5120      0.000   5.224907                0.000861
	                10240      0.000   5.224477                0.000430
	                20480      0.000   5.224262                0.000215
	                40960      0.000   5.224154                0.000108
	                81920      0.000   5.224100                0.000054

						Method_left_rectangle:

      Amount_of_splitting       Step      Value    Module_of_difference
	                   10      0.092   4.803264                4.803264
	                   20      0.046   5.008713                0.205449
	                   40      0.023   5.115141                0.106428
	                   80      0.012   5.169284                0.054143
	                  160      0.006   5.196588                0.027304
	                  320      0.003   5.210298                0.013710
	                  640      0.001   5.217167                0.006870
	                 1280      0.001   5.220606                0.003438
	                 2560      0.000   5.222326                0.001720
	                 5120      0.000   5.223186                0.000860
	                10240      0.000   5.223616                0.000430
	                20480      0.000   5.223832                0.000215
	                40960      0.000   5.223939                0.000108
	                81920      0.000   5.223993                0.000054

						Method_middle_rectangle:

      Amount_of_splitting       Step      Value           Module_of_difference
	                   10      0.092   5.214162                5.214162
	                   20      0.046   5.221568                0.007406
	                   40      0.023   5.223427                0.001858
	                   80      0.012   5.223892                0.000465
	                  160      0.006   5.224008                0.000116
	                  320      0.003   5.224037                0.000029

						Method_trapeze:

      Amount_of_splitting       Step      Value           Module_of_difference
	                   10      0.092   5.243848                5.243848
	                   20      0.046   5.229005                0.014843
	                   40      0.023   5.225287                0.003718
	                   80      0.012   5.224357                0.000930
	                  160      0.006   5.224124                0.000233
	                  320      0.003   5.224066                0.000058

						Method_Simpson:

      Amount_of_splitting       Step      Value           Module_of_difference
	                   10      0.046   5.224058                5.224058
	                   20      0.023   5.224047                0.000010

						Method_Chebyshev:

      Amount_of_splitting       Step      Value           Module_of_difference
	                    2      0.460   5.180313                4.180313
	                    3      0.307   5.206454                0.026141
	                    4      0.230   5.222790                0.016336
	                    5      0.184   5.223388                0.000597
	                    6      0.153   5.224008                0.000620
	                    7      0.131   5.224021                0.000013
